state,date,price,macd_12,macd_26,ema_100,rsi_6,opening_0,closing_0,min_0,max_0,opening_1,closing_1,min_1,max_1,opening_2,closing_2,min_2,max_2,opening_3,closing_3,min_3,max_3,opening_4,closing_4,min_4,max_4,opening_5,closing_5,min_5,max_5,opening_6,closing_6,min_6,max_6,opening_7,closing_7,min_7,max_7,opening_8,closing_8,min_8,max_8,opening_9,closing_9,min_9,max_9,opening_10,closing_10,min_10,max_10,opening_11,closing_11,min_11,max_11,opening_12,closing_12,min_12,max_12,opening_13,closing_13,min_13,max_13,opening_14,closing_14,min_14,max_14
SHORT,2024-01-09 03:33:04,2313.36,4.565721692799343,13.590674348715675,2280.009133911633,22.252598361286882,2336.39,2333.69,2332.71,2338.76,2333.69,2336.59,2333.68,2341.32,2336.59,2345.22,2335.88,2347.39,2345.23,2337.08,2336.5,2346.06,2337.08,2338.38,2332.9,2339.98,2338.38,2337.1,2334.14,2342.57,2337.1,2337.02,2333.48,2337.43,2337.01,2337.63,2335.23,2338.0,2337.63,2333.58,2325.36,2337.63,2333.58,2329.31,2327.78,2335.38,2329.31,2329.31,2327.0,2330.53,2329.31,2330.44,2328.96,2332.46,2330.43,2335.67,2327.0,2336.7,2335.66,2321.73,2316.75,2335.88,2321.73,2314.31,2308.2,2323.91
LONG,2024-01-09 03:37:54,2297.65,3.3380293851068927,13.499734177775494,2279.665371535395,14.137103218581187,2336.39,2333.69,2332.71,2338.76,2333.69,2336.59,2333.68,2341.32,2336.59,2345.22,2335.88,2347.39,2345.23,2337.08,2336.5,2346.06,2337.08,2338.38,2332.9,2339.98,2338.38,2337.1,2334.14,2342.57,2337.1,2337.02,2333.48,2337.43,2337.01,2337.63,2335.23,2338.0,2337.63,2333.58,2325.36,2337.63,2333.58,2329.31,2327.78,2335.38,2329.31,2329.31,2327.0,2330.53,2329.31,2330.44,2328.96,2332.46,2330.43,2335.67,2327.0,2336.7,2335.66,2321.73,2316.75,2335.88,2321.73,2296.34,2296.01,2323.91
LONG,2024-01-09 03:56:26,2307.39,2.0602231699053846,12.698924061888015,2280.3927663937275,19.429058960133087,2333.69,2336.59,2333.68,2341.32,2336.59,2345.22,2335.88,2347.39,2345.23,2337.08,2336.5,2346.06,2337.08,2338.38,2332.9,2339.98,2338.38,2337.1,2334.14,2342.57,2337.1,2337.02,2333.48,2337.43,2337.01,2337.63,2335.23,2338.0,2337.63,2333.58,2325.36,2337.63,2333.58,2329.31,2327.78,2335.38,2329.31,2329.31,2327.0,2330.53,2329.31,2330.44,2328.96,2332.46,2330.43,2335.67,2327.0,2336.7,2335.66,2321.73,2316.75,2335.88,2321.73,2306.41,2289.98,2323.91,2306.41,2307.13,2296.13,2308.7
SHORT,2024-01-09 08:02:53,2318.09,-1.663471851079521,1.5845946543442242,2289.0220042029496,66.23226702067997,2302.68,2301.46,2296.56,2304.1,2301.46,2309.36,2297.92,2309.63,2309.35,2307.69,2306.0,2312.23,2307.68,2312.72,2307.68,2315.41,2312.73,2314.57,2310.22,2316.6,2314.57,2312.1,2310.29,2315.75,2312.09,2308.78,2307.02,2312.4,2308.8,2313.97,2307.3,2314.69,2313.98,2311.69,2310.83,2314.42,2311.69,2309.13,2308.67,2312.9,2309.12,2306.31,2303.9,2310.88,2306.3,2305.28,2300.4,2306.8,2305.27,2311.99,2304.32,2312.34,2312.0,2315.2,2311.78,2318.0,2315.2,2318.08,2315.14,2319.01
LONG,2024-01-23 00:50:29,2330.33,-12.060881107217938,-9.716188475846163,2393.5061364921166,39.87253734962148,2372.57,2373.19,2372.31,2381.62,2373.19,2368.0,2366.59,2376.16,2368.0,2366.81,2352.25,2377.0,2366.8,2353.97,2353.77,2377.5,2353.98,2340.2,2337.0,2356.38,2340.19,2315.91,2305.27,2342.17,2315.9,2321.87,2315.9,2326.17,2321.88,2332.96,2319.2,2337.19,2332.96,2348.01,2332.96,2351.53,2348.0,2346.44,2342.72,2350.4,2346.44,2340.49,2334.7,2349.8,2340.48,2329.0,2328.61,2340.49,2329.01,2334.19,2327.41,2338.58,2334.19,2326.6,2323.65,2334.46,2326.61,2330.11,2325.34,2332.75
LONG,2024-01-23 00:52:10,2330.59,-12.008231534568495,-9.712288507501759,2393.5194038188492,41.26255155521559,2372.57,2373.19,2372.31,2381.62,2373.19,2368.0,2366.59,2376.16,2368.0,2366.81,2352.25,2377.0,2366.8,2353.97,2353.77,2377.5,2353.98,2340.2,2337.0,2356.38,2340.19,2315.91,2305.27,2342.17,2315.9,2321.87,2315.9,2326.17,2321.88,2332.96,2319.2,2337.19,2332.96,2348.01,2332.96,2351.53,2348.0,2346.44,2342.72,2350.4,2346.44,2340.49,2334.7,2349.8,2340.48,2329.0,2328.61,2340.49,2329.01,2334.19,2327.41,2338.58,2334.19,2326.6,2323.65,2334.46,2326.61,2331.17,2325.34,2332.75
LONG,2024-01-23 00:55:24,2331.89,-11.935638941976322,-9.706911278420858,2393.5469285713248,42.71186776176849,2372.57,2373.19,2372.31,2381.62,2373.19,2368.0,2366.59,2376.16,2368.0,2366.81,2352.25,2377.0,2366.8,2353.97,2353.77,2377.5,2353.98,2340.2,2337.0,2356.38,2340.19,2315.91,2305.27,2342.17,2315.9,2321.87,2315.9,2326.17,2321.88,2332.96,2319.2,2337.19,2332.96,2348.01,2332.96,2351.53,2348.0,2346.44,2342.72,2350.4,2346.44,2340.49,2334.7,2349.8,2340.48,2329.0,2328.61,2340.49,2329.01,2334.19,2327.41,2338.58,2334.19,2326.6,2323.65,2334.46,2326.61,2332.33,2325.34,2334.0
LONG,2024-01-25 21:04:33,2208.76,-5.009071329942799,-5.0201794513320035,2216.4072754986532,67.91756776449614,2209.77,2206.2,2205.89,2215.93,2206.19,2211.72,2201.17,2212.58,2211.73,2207.37,2205.94,2213.5,2207.38,2197.89,2186.55,2208.65,2197.89,2192.0,2188.9,2198.14,2192.0,2188.0,2181.91,2194.28,2188.0,2187.45,2182.7,2190.12,2187.45,2192.01,2184.2,2193.79,2192.02,2194.92,2189.42,2194.92,2194.91,2186.0,2184.65,2194.92,2186.0,2177.72,2171.3,2190.6,2177.73,2190.72,2175.01,2192.6,2190.72,2197.03,2189.87,2199.43,2197.02,2203.28,2196.39,2203.38,2203.27,2208.6,2203.27,2209.2
LONG,2024-01-25 22:17:14,2209.25,-0.02315794700098195,-3.75006983650826,2216.037998201675,56.70529373384839,2192.0,2188.0,2181.91,2194.28,2188.0,2187.45,2182.7,2190.12,2187.45,2192.01,2184.2,2193.79,2192.02,2194.92,2189.42,2194.92,2194.91,2186.0,2184.65,2194.92,2186.0,2177.72,2171.3,2190.6,2177.73,2190.72,2175.01,2192.6,2190.72,2197.03,2189.87,2199.43,2197.02,2203.28,2196.39,2203.38,2203.27,2210.2,2203.27,2212.79,2210.2,2221.17,2210.2,2221.9,2221.17,2210.12,2208.8,2223.22,2210.12,2211.0,2204.39,2214.39,2211.0,2210.2,2203.81,2214.09,2210.2,2209.26,2209.24,2211.49
LONG,2024-03-22 00:46:54,3490.0,-4.977117959764655,-11.465909157030783,3474.769728467049,64.80252495193345,3436.42,3446.69,3427.27,3450.0,3446.68,3413.51,3412.22,3446.69,3413.5,3421.71,3412.23,3430.78,3421.72,3433.49,3416.94,3437.08,3433.5,3430.85,3418.09,3435.0,3430.86,3447.22,3429.66,3452.43,3447.23,3441.38,3432.95,3451.27,3441.37,3474.52,3412.0,3476.04,3474.51,3483.3,3466.18,3500.0,3483.29,3472.99,3465.42,3486.91,3472.99,3484.27,3452.37,3486.7,3484.26,3477.98,3474.8,3489.97,3477.97,3472.58,3468.36,3489.79,3472.58,3487.37,3472.57,3489.82,3487.37,3490.49,3487.25,3490.5
